ID;Departement;Column5;Longitude;Latitude;LonGRD;LatGRD;LonDMS;LatDMS
36061;95;clery en vexin;1.85;49.1333;-553;54586;15018;490737
36062;95;commeny;1.9;49.1167;-495;54585;15326;490735
36063;95;epiais rhus;2.06667;49.1167;-305;54580;20343;490720
36064;95;vaureal;2.03333;49.0333;-338;54483;20155;490204
36065;95;bray et lu;1.65;49.1333;-750;54599;13940;490822
36066;95;marly la ville;2.5;49.0833;181;54534;22958;490451
36067;95;le perchay;1.93333;49.1167;-449;54568;15557;490640
36068;95;genicourt;2.06667;49.0833;-298;54544;20406;490521
36069;95;amenucourt;1.65;49.1;-772;54562;13831;490622
36070;95;condecourt;1.95;49.0333;-438;54492;15632;490234
36071;95;groslay;2.35;48.9833;9;54430;22040;485912
36072;95;menucourt;1.98333;49.0167;-395;54475;15853;490138
36073;95;saint witz;2.56667;49.0833;257;54546;23406;490530
36074;95;piscop;2.35;49.0167;8;54458;22037;490044
36075;95;nucourt;1.85;49.1667;-536;54621;15115;490932
36076;95;arronville;2.1;49.1833;-248;54646;20649;491052
36077;95;herblay;2.16667;49;-190;54434;20956;485925
36078;95;asnieres sur oise;2.35;49.1333;22;54593;22122;490800
36079;95;presles;2.3;49.1167;-60;54572;21656;490655
36080;95;lassy;2.45;49.1;121;54552;22645;490550
36081;95;andilly;2.3;49;-41;54450;21758;490019
36082;95;haute isle;1.66667;49.0833;-754;54537;13929;490501
36083;95;chaumontel;2.43333;49.1167;103;54585;22544;490737
36084;95;villaines sous bois;2.36667;49.0833;23;54530;22128;490437
36085;95;ermont;2.26667;48.9833;-86;54435;21534;485929
36086;95;auvers sur oise;2.16667;49.0667;-180;54524;21027;490418
36087;95;saint brice sous foret;2.36667;49;23;54443;22125;485955
36088;95;arthies;1.78333;49.1;-607;54551;14726;490544
36089;95;grisy les platres;2.05;49.1333;-319;54591;20258;490755
36090;95;puiseux en france;2.48333;49.0667;182;54509;23001;490328
36091;95;goussainville;2.46667;49.0167;152;54480;22825;490154
36092;95;moussy;1.91667;49.1333;-474;54598;15435;490817
36093;95;pierrelaye;2.16667;49.0167;-207;54469;20901;490121
36094;95;franconville;2.23333;48.9833;-118;54431;21350;485917
36095;95;louvres;2.5;49.0333;187;54493;23019;490238
36096;95;gouzangrez;1.91667;49.1167;-478;54570;15423;490645
36097;95;le bellay en vexin;1.88333;49.15;-500;54612;15310;490904
36098;95;gonesse;2.45;48.9833;124;54430;22655;485912
36099;95;la chapelle en vexin;1.73333;49.1833;-672;54649;14355;491102
